,carat,cut,color,clarity,depth,table,x,y,z,cut_,clarity_,color_,price_predicted
1202,0.27,Very Good,F,VVS2,61.9,58.0,4.17,4.2,2.59,3,6,5,565.7112370270927
1203,0.41,Ideal,E,VVS1,61.9,55.0,4.79,4.78,2.96,5,7,6,1477.2617280368554
1204,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,4,3,5,7354.428218891346
1205,0.41,Very Good,I,VVS1,62.0,56.0,4.75,4.77,2.95,3,7,2,1037.7138470371062
1206,0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,5,2,4,690.800569282877
1207,1.01,Ideal,F,SI1,62.0,57.0,6.38,6.42,3.97,5,3,5,5105.872628906466
1208,1.5,Premium,I,VS1,62.7,59.0,7.25,7.3,4.56,4,5,2,10434.21161853225
1209,0.56,Ideal,D,SI2,61.3,56.0,5.3,5.33,3.26,5,2,7,1519.809486281427
1210,0.36,Ideal,I,VS1,62.1,57.0,4.54,4.58,2.83,5,5,2,725.821374085015
1211,1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,4,4,2,9492.436886567133
1212,1.3,Very Good,I,VS1,62.1,59.0,6.97,7.01,4.34,3,5,2,7753.440212372782
1213,0.32,Ideal,G,VVS1,61.7,56.0,4.41,4.37,2.71,5,7,4,828.0146556833297
1214,0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,3,3,6,397.35456270980745
1215,1.51,Very Good,E,SI2,61.8,57.0,7.34,7.32,4.53,3,2,6,8975.975388443168
1216,0.33,Premium,E,VVS1,60.1,58.0,4.51,4.47,2.7,4,7,6,960.9416713623851
1217,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,5,5,4,10444.355159115845
1218,1.01,Good,E,SI1,63.2,59.0,6.25,6.28,3.96,2,3,6,4919.470621993604
1219,1.0,Premium,G,VS2,60.0,59.0,6.54,6.46,3.9,4,4,4,5294.032100951631
1220,1.42,Ideal,F,VVS1,60.8,56.0,7.25,7.32,4.43,5,7,5,14563.836355358086
1221,0.9,Premium,H,VS2,61.2,61.0,6.18,6.08,3.75,4,4,3,4008.966239755174
1222,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,3,4,6,5871.355265310069
1223,0.36,Premium,D,VS2,60.5,58.0,4.63,4.6,2.79,4,4,7,903.0920829979273
1224,0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,4,3,6,2636.0267121100337
1225,0.37,Good,G,SI2,63.3,55.0,4.58,4.61,2.91,2,2,4,546.4162927368259
1226,0.91,Very Good,E,SI1,63.3,56.0,6.12,6.17,3.89,3,3,6,4202.614195875611
1227,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,5,4,3,3280.9489051912224
1228,0.9,Good,E,SI2,63.4,60.0,6.02,6.07,3.83,2,2,6,3259.2092092170815
1229,0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,5,8,4,831.5975819269038
1230,1.51,Good,G,VS1,62.4,59.0,7.25,7.28,4.53,2,5,4,11980.117741743308
1231,1.11,Premium,I,SI2,61.5,58.0,6.65,6.61,4.08,4,2,2,3812.8770699131337
1232,0.41,Ideal,H,VS1,61.0,54.0,4.84,4.8,2.94,5,5,3,1037.3899272605863
1233,1.01,Very Good,J,SI2,62.8,59.0,6.34,6.37,3.99,3,2,1,2562.854289588358
1234,0.7,Ideal,D,VS2,61.6,58.0,5.66,5.7,3.5,5,4,7,3226.5215642148205
1235,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,5,5,4,15103.265191702
1236,1.61,Premium,D,SI2,61.3,58.0,7.56,7.49,4.61,4,2,7,10864.58121398004
1237,0.72,Very Good,H,SI1,63.0,58.0,5.68,5.71,3.59,3,3,3,2231.7772181718674
1238,0.54,Premium,G,VS2,62.0,58.0,5.21,5.18,3.22,4,4,4,1659.4046194596303
1239,1.22,Very Good,G,IF,62.0,59.0,6.8,6.85,4.23,3,8,4,10445.088984310756
1240,0.33,Premium,G,IF,59.4,59.0,4.54,4.49,2.68,4,8,4,915.7137859638452
1241,1.34,Very Good,G,VS2,60.7,59.0,7.04,7.07,4.28,3,4,4,8935.851270624733
1242,0.76,Ideal,H,VVS1,61.8,57.0,5.82,5.86,3.61,5,7,3,3896.8373094421186
1243,1.74,Ideal,E,SI2,62.3,57.0,7.8,7.7,4.83,5,2,6,12309.413185872696
1244,0.32,Ideal,G,SI1,61.3,57.0,4.37,4.4,2.69,5,3,4,551.3358904255048
1245,0.5,Ideal,F,VS2,61.1,58.0,5.1,5.13,3.13,5,4,5,1560.053299058689
1246,1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,2,1,4,5060.0779482013495
1247,0.7,Fair,I,SI1,65.2,58.0,5.6,5.56,3.64,1,3,2,1702.8799608313584
1248,0.52,Ideal,E,VS2,61.4,54.0,5.2,5.23,3.2,5,4,6,1766.606526406253
1249,0.73,Very Good,G,VVS1,62.9,59.0,5.7,5.78,3.61,3,7,4,3725.24993952737
1250,1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,4,5,3,8034.621152307782
1251,1.02,Premium,H,VS2,61.9,57.0,6.5,6.4,3.99,4,4,3,5074.275102102033
1252,1.0,Ideal,E,SI1,61.6,55.0,6.45,6.43,3.97,5,3,6,5270.658699896625
1253,0.7,Very Good,D,SI1,61.1,58.0,5.66,5.73,3.48,3,3,7,2676.3051236757638
1254,1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,3,2,6,8864.385575825168
1255,2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,3,6,1,15716.634361836603
1256,0.3,Very Good,G,VS2,63.1,56.0,4.28,4.25,2.69,3,4,4,533.8051383670595
1257,0.26,Premium,E,VVS2,58.9,61.0,4.19,4.16,2.46,4,6,6,569.6699894834469
1258,0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,4,3,6,1850.0605646289764
1259,0.4,Very Good,F,VS1,60.4,61.0,4.74,4.77,2.87,3,5,5,1086.342525430639
1260,0.26,Ideal,D,VS1,62.0,55.0,4.12,4.1,2.55,5,5,7,556.4606413669368
1261,1.0,Fair,H,SI2,65.1,58.0,6.27,6.15,4.05,1,2,3,3069.564672589383
1262,0.52,Fair,F,VS1,57.2,59.0,5.35,5.39,3.07,1,5,5,1602.6285964286076
1263,1.02,Premium,D,SI2,59.7,60.0,6.58,6.55,3.92,4,2,7,4600.495000127966
1264,1.7,Good,I,SI1,59.3,58.0,7.72,7.77,4.59,2,3,2,9671.855058967154
1265,1.01,Premium,H,SI2,61.6,61.0,6.39,6.31,3.91,4,2,3,3571.326304315762
1266,0.55,Ideal,E,VS2,61.8,57.0,5.34,5.27,3.28,5,4,6,1963.370511763994
1267,1.04,Good,F,VS1,63.2,57.0,6.41,6.44,4.06,2,5,5,6315.44442396145
1268,1.02,Premium,D,VS2,62.9,60.0,6.42,6.37,4.02,4,4,7,6416.425474328279
1269,0.3,Ideal,F,SI1,62.3,54.0,4.3,4.27,2.67,5,3,5,519.3817167723738
1270,0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,5,1,5,2792.6691268458117
1271,0.31,Ideal,E,VS2,62.0,55.0,4.35,4.33,2.69,5,4,6,667.1091800431866
1272,0.81,Ideal,H,VS1,61.8,58.0,5.97,6.04,3.71,5,5,3,3738.280390706551
1273,1.02,Premium,D,SI1,62.3,59.0,6.42,6.38,3.99,4,3,7,5588.882391877708
1274,0.3,Premium,I,VVS1,61.1,59.0,4.31,4.33,2.64,4,7,2,592.4014183717217
1275,0.4,Very Good,E,VS1,62.8,59.0,4.63,4.67,2.92,3,5,6,1142.6092686798172
1276,0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56,3,7,5,3760.8182680299865
1277,0.7,Premium,G,SI1,61.5,58.0,5.69,5.76,3.52,4,3,4,2356.0120989539128
1278,0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43,5,2,6,272.6721892158321
1279,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,5,5,4,7080.11434296832
1280,0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,5,6,6,761.9144514277426
1281,0.35,Premium,E,VS2,59.5,58.0,4.59,4.62,2.74,4,4,6,820.6449677397705
1282,1.13,Ideal,F,VS2,62.1,56.0,6.65,6.71,4.15,5,4,5,7241.61251997556
1283,0.31,Ideal,G,VVS1,61.5,54.0,4.36,4.39,2.69,5,7,4,779.9705444762675
1284,1.33,Ideal,I,VS2,61.1,54.0,7.14,7.15,4.37,5,4,2,7635.984671457343
1285,1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,4,2,2,4768.45872166793
1286,2.0,Fair,H,SI1,61.2,50.0,8.17,8.08,4.97,1,3,3,13751.810382535119
1287,0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,5,3,4,2406.865011537378
1288,0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,2,4,5,895.1556057294364
1289,0.5,Ideal,E,VS2,60.8,57.0,5.16,5.13,3.13,5,4,6,1640.8557314207753
1290,0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66,4,4,6,613.9197231920938
1291,1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,5,4,1,6663.726613788503
1292,0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,5,4,3,3280.9489051912224
1293,0.28,Very Good,F,VVS1,60.1,59.0,4.24,4.25,2.55,3,7,5,652.325789608443
1294,0.34,Good,E,SI1,60.5,60.1,4.5,4.53,2.73,2,3,6,633.3979626427375
1295,0.3,Very Good,E,VS2,62.6,58.0,4.25,4.28,2.67,3,4,6,597.2484625278183
1296,0.85,Ideal,E,SI2,62.8,57.0,6.06,6.01,3.79,5,2,6,3194.907812539861
1297,1.0,Very Good,E,SI1,60.9,59.0,6.38,6.43,3.9,3,3,6,5019.195726993307
1298,0.41,Premium,G,VS2,62.6,59.0,4.73,4.76,2.97,4,4,4,988.0009527651241
1299,1.5,Premium,G,VS2,60.3,60.0,7.34,7.26,4.4,4,4,4,11358.513141573325
1300,0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,3,2,3,1837.0899964759622
1301,0.33,Premium,G,VS1,62.0,59.0,4.42,4.36,2.72,4,5,4,730.7790661645137
1302,0.39,Ideal,E,IF,61.5,55.5,4.68,4.72,2.88,5,8,6,1433.5097679040753
1303,0.4,Ideal,E,VS2,61.4,57.0,4.78,4.75,2.92,5,4,6,1077.9871119616919
1304,1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,2,3,5,4677.215812762614
1305,1.02,Ideal,I,SI2,60.6,56.0,6.57,6.53,3.97,5,2,2,3321.906040011278
1306,1.01,Ideal,D,SI1,63.0,56.0,6.36,6.41,4.02,5,3,7,5604.582973430186
1307,0.7,Ideal,F,SI1,61.8,56.0,5.68,5.75,3.53,5,3,5,2560.3130038713048
1308,0.57,Very Good,F,VS2,59.5,57.0,5.39,5.43,3.22,3,4,5,1901.2796079816096
1309,1.5,Very Good,F,SI1,63.9,58.0,7.12,7.16,4.56,3,3,5,10238.541240963057
1310,1.01,Premium,J,SI2,59.3,56.0,6.51,6.45,3.84,4,2,1,2634.392375639597
1311,0.51,Ideal,D,VS2,61.2,55.0,5.17,5.13,3.15,5,4,7,1777.4798734930848
1312,1.0,Premium,E,SI2,61.7,58.0,6.39,6.34,3.93,4,2,6,4246.882736004138
1313,0.71,Premium,E,VVS1,62.5,57.0,5.67,5.62,3.53,4,7,6,4066.0232296131385
1314,0.52,Very Good,D,VVS2,59.8,55.0,5.28,5.35,3.18,3,6,7,2132.906607499942
1315,0.4,Good,I,IF,62.3,62.0,4.69,4.72,2.93,2,8,2,1015.9457567399371
1316,0.81,Premium,I,VVS2,62.9,59.0,5.95,5.84,3.71,4,6,2,3569.692737278693
1317,0.53,Ideal,F,VVS2,61.3,55.0,5.23,5.27,3.22,5,6,5,2114.970586668345
1318,2.02,Premium,I,SI2,59.4,59.0,8.25,8.21,4.89,4,2,2,11771.177859536778
1319,2.11,Ideal,I,SI1,61.0,57.0,8.37,8.29,5.08,5,3,2,15858.311765098377
1320,1.15,Ideal,D,VS2,58.5,57.0,6.96,6.93,4.06,5,4,7,8215.87815538123
1321,0.7,Premium,I,VVS2,60.1,59.0,5.8,5.72,3.46,4,6,2,2711.9977596502554
1322,1.07,Premium,F,SI1,61.7,56.0,6.66,6.5,4.06,4,3,5,5571.62491485708
1323,0.56,Ideal,H,SI1,61.9,54.0,5.3,5.33,3.29,5,3,3,1460.126264684078
1324,1.74,Ideal,G,VS2,62.9,57.0,7.68,7.64,4.82,5,4,4,15344.5321193874
1325,0.31,Very Good,G,VVS2,62.2,56.0,4.31,4.34,2.69,3,6,4,689.7858343894113
1326,0.5,Very Good,H,VVS2,62.9,56.0,5.03,5.08,3.18,3,6,3,1566.690687322469
1327,1.07,Ideal,D,VVS2,60.3,56.0,6.63,6.68,4.01,5,6,7,8714.009052775973
1328,0.3,Premium,G,VS1,61.8,59.0,4.37,4.34,2.69,4,5,4,610.737001464399
1329,0.51,Ideal,E,SI1,62.1,55.0,5.09,5.15,3.18,5,3,6,1483.5225222669424
1330,0.91,Very Good,G,SI1,63.5,58.0,6.15,6.04,3.87,3,3,4,3756.187237113659
1331,0.3,Very Good,H,SI1,61.3,58.0,4.29,4.33,2.64,3,3,3,429.348624146487
1332,0.7,Ideal,F,VS2,61.0,55.0,5.74,5.79,3.52,5,4,5,2939.4172982005493
1333,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,5,5,7,4192.690281030296
1334,1.15,Ideal,I,VS1,61.3,56.0,6.74,6.76,4.14,5,5,2,6463.644924680848
1335,1.47,Premium,J,SI2,60.0,58.0,7.36,7.31,4.4,4,2,1,5340.2337845226075
1336,1.2,Ideal,G,SI1,61.8,59.0,6.77,6.8,4.19,5,3,4,6640.039895274335
1337,1.07,Ideal,E,SI1,60.4,57.0,6.62,6.56,3.98,5,3,6,5986.693871877925
1338,1.01,Ideal,F,SI1,62.0,54.0,6.41,6.49,4.0,5,3,5,5105.872628906466
1339,0.28,Premium,G,VVS2,60.2,60.0,4.24,4.26,2.56,4,6,4,585.3917508377588
1340,2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,4,2,3,16405.872955093095
1341,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92,4,4,7,1101.2393352705922
1342,0.39,Very Good,J,VS1,63.5,58.0,4.64,4.59,2.93,3,5,1,663.2395046244699
1343,1.14,Premium,H,SI2,60.6,59.0,6.8,6.77,4.11,4,2,3,4485.705992259249
1344,0.53,Ideal,E,VVS1,61.9,55.0,5.2,5.21,3.22,5,7,6,2395.347141810247
1345,0.4,Ideal,I,SI2,61.0,58.0,4.74,4.77,2.9,5,2,2,570.1326406688072
1346,0.58,Premium,H,VS2,59.7,59.0,5.42,5.33,3.21,4,4,3,1752.981562454101
1347,0.7,Premium,D,SI1,61.2,58.0,5.74,5.7,3.5,4,3,7,2751.01001306986
1348,0.55,Ideal,H,IF,61.5,55.0,5.25,5.29,3.25,5,8,3,2260.0293231225405
1349,0.72,Very Good,I,VS2,63.3,57.0,5.66,5.72,3.6,3,4,2,2290.0593254504674
1350,0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,5,3,5,519.3817167723738
1351,1.02,Ideal,H,SI1,61.9,57.0,6.46,6.4,3.98,5,3,3,4515.231714042255
1352,0.51,Very Good,I,SI1,63.5,55.0,5.07,5.11,3.23,3,3,2,1042.111790030353
1353,0.65,Premium,E,SI2,62.6,59.0,5.54,5.49,3.45,4,2,6,1887.2691971071865
1354,1.07,Ideal,H,SI1,61.1,56.0,6.63,6.6,4.04,5,3,3,4940.947847788827
1355,0.43,Ideal,G,VVS1,61.8,55.0,4.87,4.9,3.02,5,7,4,1444.2054462683184
1356,0.32,Premium,I,IF,60.3,58.0,4.41,4.45,2.67,4,8,2,713.2175827184692
1357,0.28,Very Good,F,VS2,62.7,58.0,4.14,4.15,2.6,3,4,5,498.667395133549
1358,1.7,Very Good,G,VS2,62.6,57.0,7.6,7.67,4.78,3,4,4,13986.419468082786
1359,0.51,Very Good,I,SI1,62.5,58.0,5.05,5.12,3.18,3,3,2,1042.111790030353
1360,0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,5,4,7,3313.850116429127
1361,0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,4,4,6,1055.2111007986573
1362,0.9,Ideal,G,SI1,60.2,56.0,6.24,6.29,3.77,5,3,4,3863.1620264475423
1363,0.59,Good,F,VS1,60.5,61.0,5.43,5.5,3.31,2,5,5,2172.2373970064305
1364,1.19,Premium,D,SI2,58.6,61.0,6.93,6.89,4.05,4,2,7,6149.62010234307
1365,0.51,Premium,G,VS2,61.3,59.0,5.17,5.11,3.15,4,4,4,1490.1013900824128
1366,0.5,Very Good,E,VS2,61.8,57.0,5.05,5.11,3.14,3,4,6,1562.5705523146796
1367,1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,1,2,3,3127.6117228168164
1368,0.63,Premium,E,VS1,60.4,58.0,5.59,5.64,3.39,4,5,6,2762.3788922545186
1369,0.72,Ideal,D,SI2,62.7,55.0,5.7,5.72,3.58,5,2,7,2439.3849537439987
1370,0.3,Ideal,F,VS2,60.7,57.0,4.34,4.29,2.62,5,4,5,596.2863135645562
1371,0.3,Ideal,E,VVS2,61.6,56.0,4.32,4.35,2.67,5,6,6,761.9144514277426
1372,0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,3,6,7,710.3913688466816
1373,1.0,Very Good,E,SI2,63.2,56.0,6.33,6.36,4.01,3,2,6,4131.556763522903
1374,1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,5,5,4,8090.070494219952
1375,1.56,Very Good,H,VVS2,63.3,58.0,7.3,7.35,4.64,3,6,3,13345.974426312549
1376,0.56,Ideal,E,SI1,62.7,57.0,5.27,5.23,3.29,5,3,6,1769.1603372952206
1377,0.41,Very Good,I,SI2,63.5,57.0,4.72,4.7,2.99,3,2,2,568.7683811391847
1378,1.53,Very Good,I,VS1,62.8,55.0,7.35,7.4,4.63,3,5,2,10536.467312067127
1379,0.52,Very Good,J,SI1,62.5,59.0,5.14,5.16,3.22,3,3,1,892.1030639871666
1380,0.4,Ideal,J,SI1,61.4,55.0,4.75,4.8,2.93,5,3,1,571.6359477984746
1381,1.0,Premium,F,VS2,59.0,59.0,6.54,6.51,3.85,4,4,5,5631.549408049592
1382,0.36,Ideal,F,VS1,61.5,55.0,4.57,4.61,2.82,5,5,5,935.5087692864203
1383,0.41,Ideal,E,VS2,61.8,57.0,4.76,4.78,2.95,5,4,6,1129.2858102280527
1384,0.9,Premium,H,SI1,61.4,60.0,6.13,6.08,3.75,4,3,3,3491.919436552869
1385,1.59,Premium,G,SI1,62.3,60.0,7.49,7.42,4.64,4,3,4,11040.729995414855
1386,1.03,Premium,G,VS1,62.2,59.0,6.41,6.46,4.0,4,5,4,6229.751541917815
1387,0.38,Premium,G,VS1,61.9,56.0,4.68,4.63,2.88,4,5,4,953.1060579808398
1388,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,5,2,6,2461.167537026021
1389,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57,3,3,4,9624.911737274126
1390,1.01,Good,E,SI1,59.3,64.0,6.47,6.49,3.84,2,3,6,4919.470621993604
1391,1.71,Premium,H,VS2,62.5,58.0,7.64,7.52,4.74,4,4,3,13423.145907105412
1392,0.9,Very Good,G,VS2,61.3,59.0,6.15,6.21,3.79,3,4,4,4223.5762996186395
1393,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5,2,4,4560.755003646183
1394,0.78,Very Good,E,VS1,60.0,56.0,6.0,6.03,3.61,3,5,6,4017.5280630599814
1395,0.32,Ideal,D,VS2,61.5,56.0,4.41,4.44,2.72,5,4,7,739.0930239362303
1396,0.3,Ideal,F,IF,62.0,56.0,4.31,4.33,2.68,5,8,5,831.6554397390913
1397,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4,3,4,4698.448069135353
1398,0.32,Ideal,D,VVS2,61.7,55.0,4.39,4.42,2.72,5,6,7,897.8825077131797
1399,1.05,Premium,H,VS2,62.7,59.0,6.49,6.43,4.05,4,4,3,5358.905808380909
1400,0.9,Ideal,H,SI1,61.1,58.0,6.24,6.19,3.79,5,3,3,3567.2901334751687
1401,0.54,Ideal,G,VVS1,62.2,56.0,5.2,5.22,3.24,5,7,4,2217.5840405309154
1402,1.5,Ideal,E,SI1,62.6,56.0,7.27,7.3,4.56,5,3,6,11308.364771109378
1403,1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0,2,3,7,5134.057586720881
1404,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,5,2,5,11957.79875872294
1405,1.01,Fair,F,VS2,65.2,52.0,6.31,6.29,4.11,1,4,5,5025.1293211889815
1406,1.03,Ideal,H,SI2,60.5,57.0,6.58,6.52,3.96,5,2,3,3785.61918984952
1407,0.3,Ideal,E,VVS1,60.1,57.0,4.38,4.41,2.64,5,7,6,820.425931296538
1408,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,5,2,4,14706.48160100579
1409,0.54,Premium,I,VVS1,60.8,61.0,5.28,5.22,3.19,4,7,2,1791.5506416981145
1410,1.01,Premium,D,SI2,58.3,59.0,6.67,6.63,3.88,4,2,7,4515.945354767553
1411,1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,1,1,2,4273.501250062252
1412,0.56,Very Good,E,VS1,62.7,60.0,5.25,5.28,3.3,3,5,6,2152.8786557922513
1413,0.47,Premium,G,VS2,61.0,59.0,5.03,5.0,3.06,4,4,4,1277.704707383176
1414,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3,2,4,3028.250188020561
1415,0.57,Premium,E,VS2,61.0,58.0,5.34,5.31,3.25,4,4,6,2055.5758085307566
1416,0.36,Ideal,G,VVS2,61.8,55.0,4.57,4.62,2.84,5,6,4,959.869087020469
1417,0.9,Premium,H,VS2,61.2,61.0,6.21,6.14,3.78,4,4,3,4008.966239755174
1418,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,2,4,5,3462.28423960749
1419,0.5,Ideal,E,VVS2,61.7,55.7,5.09,5.12,3.13,5,6,6,1993.3832565178518
1420,1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,3,3,2,4896.018028681008
1421,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,5,2,4,1215.4523025534602
1422,0.23,Premium,E,VVS2,61.8,58.0,3.94,3.92,2.43,4,6,6,452.24692933100806
1423,0.96,Premium,D,SI2,59.1,58.0,6.53,6.44,3.83,4,2,7,4104.250773954611
1424,0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,5,4,6,978.7523115745853
1425,0.32,Ideal,G,VVS2,61.2,56.0,4.42,4.41,2.7,5,6,4,768.9619599932768
1426,0.71,Ideal,D,VVS2,61.6,56.0,5.69,5.77,3.53,5,6,7,4025.809954041346
1427,1.05,Premium,F,VS1,62.3,55.0,6.57,6.49,4.07,4,5,5,6871.267875178309
1428,1.16,Premium,G,VVS2,60.0,59.0,6.89,6.82,4.11,4,6,4,8504.816085949607
1429,0.9,Very Good,D,SI1,63.0,58.0,6.11,6.14,3.86,3,3,7,4295.629491230665
1430,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,2,4,5,983.5361828630319
1431,0.71,Very Good,I,SI2,61.9,54.0,5.67,5.74,3.53,3,2,2,1599.2710340561712
1432,0.74,Very Good,H,VS1,62.3,56.0,5.75,5.78,3.59,3,5,3,3002.874363181602
1433,0.73,Premium,I,VS1,61.2,59.0,5.82,5.84,3.57,4,5,2,2689.0355401842503
1434,1.16,Ideal,H,SI2,61.1,56.0,6.78,6.79,4.15,5,2,3,4735.061826082901
1435,1.57,Fair,H,VS1,67.3,66.0,7.85,5.75,3.87,1,5,3,11140.620530919387
1436,0.3,Very Good,D,VS2,62.9,58.0,4.23,4.26,2.67,3,4,7,623.3003987237378
1437,0.58,Ideal,F,SI2,60.9,56.0,5.42,5.39,3.29,5,2,5,1479.1383367457581
1438,0.32,Very Good,D,VS2,62.0,57.0,4.38,4.42,2.73,3,4,7,703.830917312868
1439,1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,5,3,2,8446.635472329304
1440,0.7,Premium,G,SI1,62.0,61.0,5.67,5.62,3.5,4,3,4,2356.0120989539128
1441,0.88,Ideal,E,SI2,62.2,57.0,6.08,6.2,3.82,5,2,6,3410.51153421834
1442,0.7,Ideal,G,SI1,62.2,56.0,5.72,5.69,3.55,5,3,4,2406.865011537378
1443,0.25,Ideal,F,VVS1,62.3,56.0,4.01,4.03,2.5,5,7,5,553.3887574758166
1444,0.7,Very Good,F,VS2,62.4,59.0,5.64,5.71,3.54,3,4,5,2799.177784603616
1445,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,5,2,4,4404.477066114015
1446,0.39,Fair,G,IF,57.1,61.0,4.83,4.88,2.77,1,8,4,1098.3416394302226
1447,1.55,Ideal,F,VS2,61.8,54.0,7.44,7.48,4.61,5,4,5,13129.498688617852
1448,1.18,Ideal,I,VS2,62.3,56.0,6.76,6.73,4.21,5,4,2,6095.642477760547
1449,1.21,Premium,H,SI1,61.8,58.0,6.83,6.79,4.21,4,3,3,6096.458574882695
1450,0.27,Ideal,I,VS1,62.1,54.0,4.16,4.18,2.59,5,5,2,422.2814342342682
1451,0.35,Ideal,H,VVS2,62.5,57.0,4.54,4.48,2.82,5,6,3,840.5685841463842
1452,0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,5,4,3,2551.616644687133
1453,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,4,4,2,3658.43363008013
1454,0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,5,4,7,783.1771954310308
1455,2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,4,3,2,15941.399365240204
1456,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,4,4,2,6158.683328500625
1457,0.3,Very Good,H,VVS1,62.6,56.0,4.25,4.28,2.67,3,7,3,644.8101046285873
1458,0.5,Ideal,I,SI1,59.8,59.0,5.18,5.15,3.09,5,3,2,1054.2731423155424
1459,0.55,Ideal,G,VS2,62.2,54.0,5.27,5.28,3.28,5,4,4,1754.8094862599453
1460,2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,3,4,3,17703.794320307814
1461,0.3,Ideal,H,VVS2,61.3,57.0,4.33,4.31,2.65,5,6,3,628.8244646456633
1462,1.65,Premium,D,SI1,60.4,60.0,7.63,7.58,4.59,4,3,7,13822.92085976237
1463,0.26,Very Good,F,VS2,62.4,58.0,4.06,4.08,2.54,3,4,5,433.72596879283566
1464,0.42,Ideal,D,VS1,61.1,57.0,4.84,4.81,2.95,5,5,7,1372.6661178521495
1465,0.5,Premium,F,VVS2,61.9,58.0,5.07,5.1,3.15,4,6,5,1855.1781758952575
1466,1.09,Ideal,G,VS2,62.4,55.0,6.61,6.56,4.11,5,4,4,6360.999106998592
1467,0.41,Premium,G,SI1,61.3,58.0,4.76,4.8,2.93,4,3,4,860.5759001113408
1468,1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,4,3,5,5473.992563563784
1469,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,1,3,5,9101.407782225418
