,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_,color_
6467,0.78,Ideal,D,VS2,62.3,54.0,4183.0,5.87,5.91,3.67,3,6
6468,0.92,Very Good,E,SI1,63.2,58.0,4183.0,6.18,6.16,3.9,2,5
6469,0.91,Good,G,VS2,63.6,58.0,4183.0,6.14,6.1,3.89,3,3
6470,0.92,Premium,E,SI1,59.4,62.0,4183.0,6.3,6.24,3.73,2,5
6471,0.9,Fair,F,VS1,66.2,55.0,4183.0,6.11,5.97,4.0,4,4
6472,0.92,Good,E,SI1,63.7,57.0,4183.0,6.14,6.11,3.9,2,5
6473,0.65,Ideal,E,IF,62.3,56.0,4184.0,5.52,5.56,3.45,7,5
6474,1.0,Good,E,SI2,59.9,63.0,4184.0,6.45,6.5,3.88,1,5
6475,1.01,Premium,I,SI1,61.8,58.0,4185.0,6.45,6.37,3.96,2,1
6476,1.01,Very Good,H,SI2,58.9,60.0,4185.0,6.62,6.58,3.89,1,2
6477,1.01,Good,G,SI2,63.8,53.0,4185.0,6.41,6.31,4.06,1,3
6478,1.01,Very Good,I,SI1,63.4,55.0,4185.0,6.39,6.35,4.04,2,1
6479,1.11,Ideal,G,SI2,61.9,55.0,4185.0,6.65,6.6,4.1,1,3
6480,1.01,Very Good,G,SI1,63.3,57.0,4185.0,6.37,6.35,4.02,2,3
6481,0.9,Very Good,H,VVS2,62.9,58.0,4186.0,6.1,6.15,3.85,5,2
6482,0.9,Very Good,F,VS2,61.2,59.0,4186.0,6.2,6.26,3.81,3,4
6483,0.96,Very Good,E,SI2,62.6,60.0,4186.0,6.26,6.32,3.94,1,5
6484,1.01,Very Good,I,SI1,59.7,60.0,4186.0,6.49,6.55,3.89,2,1
6485,1.15,Ideal,H,SI2,62.2,57.0,4186.0,6.68,6.63,4.14,1,2
6486,1.15,Premium,F,SI2,61.8,54.0,4186.0,6.78,6.75,4.18,1,4
6487,0.96,Very Good,I,VS2,59.6,59.0,4187.0,6.36,6.42,3.81,3,1
6488,0.9,Good,I,VVS1,63.6,58.0,4187.0,6.1,6.14,3.89,6,1
6489,1.01,Very Good,F,SI2,62.4,58.0,4187.0,6.37,6.42,3.99,1,4
6490,0.9,Very Good,D,SI1,63.4,53.0,4187.0,6.1,6.17,3.89,2,6
6491,0.9,Good,D,SI1,62.0,62.0,4187.0,6.06,6.1,3.77,2,6
6492,0.91,Very Good,E,SI1,63.7,59.0,4188.0,6.13,6.17,3.92,2,5
6493,0.91,Very Good,F,SI1,63.1,60.0,4188.0,6.13,6.17,3.88,2,4
6494,0.87,Ideal,F,SI1,61.7,56.0,4188.0,6.1,6.12,3.77,2,4
6495,0.87,Premium,D,SI1,62.1,58.0,4189.0,6.08,6.13,3.79,2,6
6496,1.01,Very Good,I,SI1,63.6,58.0,4189.0,6.31,6.36,4.03,2,1
6497,1.01,Good,J,VS1,61.5,61.0,4189.0,6.39,6.45,3.95,4,0
6498,1.0,Premium,G,SI1,60.0,62.0,4189.0,6.48,6.45,3.88,2,3
6499,1.04,Very Good,I,SI1,64.1,57.0,4190.0,6.35,6.38,4.08,2,1
6500,0.9,Good,E,SI1,57.9,60.0,4190.0,6.3,6.34,3.66,2,5
6501,1.01,Premium,H,SI1,60.3,59.0,4191.0,6.45,6.42,3.88,2,2
6502,0.86,Very Good,D,VS2,62.8,55.0,4191.0,6.07,6.13,3.83,3,6
6503,1.21,Very Good,J,VS2,62.4,58.0,4191.0,6.79,6.83,4.25,3,0
6504,0.91,Very Good,E,SI1,58.8,59.0,4191.0,6.34,6.39,3.74,2,5
6505,0.9,Ideal,E,SI2,62.2,55.0,4191.0,6.19,6.22,3.86,1,5
6506,1.01,Good,H,SI1,64.0,58.0,4191.0,6.37,6.31,4.06,2,2
6507,0.9,Premium,H,VS2,61.7,59.0,4191.0,6.19,6.13,3.8,3,2
6508,1.01,Very Good,H,SI1,63.4,58.0,4191.0,6.41,6.37,4.05,2,2
6509,1.01,Fair,H,SI1,64.6,55.0,4191.0,6.29,6.25,4.05,2,2
6510,1.01,Premium,H,SI1,61.9,59.0,4191.0,6.35,6.32,3.92,2,2
6511,1.01,Ideal,H,SI1,60.2,56.0,4191.0,6.47,6.42,3.88,2,2
6512,1.01,Premium,H,SI1,61.2,59.0,4191.0,6.45,6.4,3.93,2,2
6513,1.01,Premium,H,SI1,58.8,62.0,4191.0,6.59,6.54,3.86,2,2
6514,1.01,Premium,H,SI1,58.2,62.0,4191.0,6.54,6.48,3.78,2,2
6515,1.1,Very Good,I,SI2,62.6,59.0,4192.0,6.53,6.57,4.1,1,1
6516,1.21,Good,J,SI2,63.7,55.0,4192.0,6.75,6.81,4.32,1,0
6517,0.89,Ideal,D,SI2,60.8,56.0,4192.0,6.22,6.25,3.79,1,6
6518,1.04,Very Good,I,SI1,63.2,54.0,4193.0,6.49,6.42,4.08,2,1
6519,0.9,Good,D,SI1,63.8,58.0,4193.0,6.09,6.13,3.9,2,6
6520,1.04,Good,H,SI2,57.9,58.0,4193.0,6.72,6.68,3.88,1,2
6521,1.04,Ideal,H,SI2,60.3,56.0,4193.0,6.61,6.58,3.98,1,2
6522,0.8,Premium,G,IF,62.6,58.0,4193.0,5.93,5.89,3.7,7,3
6523,1.07,Good,I,VS2,63.8,60.0,4194.0,6.41,6.38,4.08,3,1
6524,0.95,Very Good,G,SI2,62.6,58.0,4194.0,6.17,6.23,3.88,1,3
6525,1.01,Very Good,J,SI1,63.0,54.0,4194.0,6.35,6.41,4.02,2,0
6526,0.92,Premium,F,SI1,62.2,59.0,4194.0,6.21,6.14,3.84,2,4
6527,1.01,Ideal,J,SI1,60.2,59.0,4194.0,6.48,6.51,3.91,2,0
6528,0.9,Fair,I,VVS1,63.5,57.0,4194.0,5.98,6.09,3.83,6,1
6529,0.9,Good,G,VS2,63.6,58.0,4194.0,6.12,6.08,3.88,3,3
6530,1.07,Premium,H,SI2,62.2,59.0,4194.0,6.53,6.47,4.04,1,2
6531,0.9,Premium,G,VS2,61.3,59.0,4194.0,6.21,6.15,3.79,3,3
6532,1.13,Very Good,I,SI2,59.9,57.0,4195.0,6.76,6.8,4.06,1,1
6533,1.01,Good,G,SI1,63.6,58.0,4195.0,6.29,6.35,4.02,2,3
6534,1.0,Very Good,G,SI2,60.0,62.0,4195.0,6.45,6.48,3.88,1,3
6535,0.73,Ideal,D,VS1,61.5,58.0,4196.0,5.76,5.79,3.55,4,6
6536,1.06,Ideal,H,SI1,62.7,57.0,4196.0,6.53,6.48,4.08,2,2
6537,1.11,Ideal,E,SI2,62.0,57.0,4196.0,6.67,6.63,4.12,1,5
6538,1.11,Premium,I,SI2,61.8,58.0,4196.0,6.66,6.61,4.1,1,1
6539,1.01,Premium,F,SI2,59.6,59.0,4197.0,6.59,6.52,3.91,1,4
6540,1.0,Ideal,F,SI2,61.8,57.0,4197.0,6.36,6.45,3.96,1,4
6541,1.06,Very Good,I,SI1,62.7,56.0,4197.0,6.46,6.5,4.06,2,1
6542,1.18,Premium,J,SI2,61.3,60.0,4197.0,6.78,6.83,4.17,1,0
6543,1.01,Premium,F,SI2,61.0,60.0,4197.0,6.48,6.44,3.94,1,4
6544,1.01,Premium,F,SI2,62.7,56.0,4197.0,6.4,6.35,4.0,1,4
6545,1.01,Good,F,SI2,63.6,59.0,4197.0,6.37,6.34,4.04,1,4
6546,1.01,Premium,F,SI2,58.8,62.0,4197.0,6.49,6.46,3.81,1,4
6547,1.01,Good,I,VS2,63.9,59.0,4197.0,6.29,6.26,4.01,3,1
6548,0.7,Good,D,VVS1,59.2,59.0,4198.0,5.76,5.79,3.42,6,6
6549,1.19,Premium,J,SI2,58.4,60.0,4198.0,6.98,6.92,4.06,1,0
6550,0.9,Ideal,F,SI2,61.5,56.0,4198.0,6.24,6.18,3.82,1,4
6551,1.05,Premium,G,SI2,61.8,60.0,4198.0,6.49,6.46,4.0,1,3
6552,1.01,Good,F,SI1,64.2,58.0,4199.0,6.31,6.33,4.06,2,4
6553,1.05,Very Good,J,SI1,62.5,58.0,4199.0,6.47,6.52,4.06,2,0
6554,1.03,Ideal,E,SI2,61.6,56.0,4199.0,6.5,6.45,3.99,1,5
6555,0.91,Ideal,I,VS2,61.6,56.0,4199.0,6.17,6.25,3.83,3,1
6556,0.91,Ideal,I,VS2,61.9,56.0,4199.0,6.18,6.22,3.84,3,1
6557,1.25,Very Good,H,SI2,63.2,60.0,4199.0,6.87,6.81,4.32,1,2
6558,1.03,Ideal,I,VS1,62.4,57.0,4199.0,6.48,6.4,4.02,4,1
6559,1.03,Premium,I,VS1,60.1,59.0,4199.0,6.53,6.46,3.9,4,1
6560,1.0,Ideal,I,SI1,61.4,56.0,4200.0,6.45,6.39,3.94,2,1
6561,1.04,Ideal,G,SI2,62.0,57.0,4200.0,6.53,6.6,4.07,1,3
6562,1.04,Very Good,G,SI2,60.9,58.0,4200.0,6.52,6.58,3.99,1,3
6563,1.04,Premium,G,SI2,61.2,58.0,4200.0,6.5,6.57,4.0,1,3
6564,1.04,Very Good,G,SI2,62.9,58.0,4200.0,6.43,6.47,4.06,1,3
6565,1.0,Very Good,H,SI2,63.3,57.0,4200.0,6.37,6.3,4.01,1,2
6566,1.0,Premium,I,SI1,60.5,59.0,4200.0,6.54,6.49,3.94,2,1
6567,1.0,Good,H,SI1,63.7,55.0,4200.0,6.33,6.29,4.02,2,2
6568,1.0,Ideal,I,SI1,59.8,57.0,4200.0,6.5,6.44,3.87,2,1
6569,1.0,Premium,H,SI2,62.7,58.0,4200.0,6.33,6.31,3.96,1,2
6570,1.0,Very Good,I,SI1,63.3,58.0,4200.0,6.34,6.3,4.0,2,1
6571,1.0,Premium,F,SI2,62.5,59.0,4200.0,6.4,6.28,3.96,1,4
6572,1.0,Premium,E,SI2,61.0,62.0,4200.0,6.41,6.34,3.89,1,5
6573,1.0,Premium,E,SI2,62.8,59.0,4200.0,6.34,6.3,3.97,1,5
6574,1.25,Premium,J,SI1,62.0,61.0,4200.0,6.86,6.84,4.25,2,0
6575,1.07,Very Good,G,SI2,58.5,61.0,4201.0,6.59,6.71,3.89,1,3
6576,1.07,Premium,G,SI2,59.8,60.0,4201.0,6.65,6.7,3.99,1,3
6577,1.07,Very Good,G,SI2,59.9,59.0,4201.0,6.61,6.67,3.98,1,3
6578,1.1,Premium,E,SI2,60.0,60.0,4201.0,6.7,6.73,4.03,1,5
6579,0.91,Very Good,H,VS2,59.9,62.0,4201.0,6.26,6.33,3.77,3,2
6580,0.91,Premium,H,VS2,61.9,59.0,4201.0,6.18,6.23,3.84,3,2
6581,0.9,Very Good,E,SI1,62.1,59.0,4201.0,6.13,6.17,3.82,2,5
6582,0.9,Ideal,H,VS1,60.9,57.0,4201.0,6.2,6.24,3.79,4,2
6583,1.05,Ideal,J,VS2,62.3,56.0,4201.0,6.55,6.51,4.07,3,0
6584,1.21,Good,E,I1,64.0,57.0,4201.0,6.73,6.67,4.29,0,5
6585,1.1,Very Good,I,SI2,60.5,59.0,4202.0,6.65,6.71,4.04,1,1
6586,1.11,Very Good,I,SI2,61.1,58.0,4202.0,6.63,6.69,4.07,1,1
6587,1.0,Premium,E,SI2,58.5,61.0,4202.0,6.52,6.48,3.8,1,5
6588,1.0,Good,I,VS1,63.8,56.0,4202.0,6.35,6.32,4.04,4,1
6589,0.9,Good,E,VS2,64.0,58.0,4203.0,6.07,6.02,3.87,3,5
6590,1.2,Premium,D,SI2,60.2,60.0,4203.0,6.94,6.81,4.14,1,6
6591,1.05,Good,E,SI2,63.2,59.0,4204.0,6.36,6.43,4.04,1,5
6592,1.0,Good,F,SI2,62.0,59.0,4204.0,6.32,6.36,3.93,1,4
6593,0.91,Premium,F,SI1,62.1,56.0,4204.0,6.24,6.2,3.86,2,4
6594,0.84,Very Good,D,SI1,59.9,54.0,4205.0,6.2,6.23,3.72,2,6
6595,0.7,Ideal,E,VVS2,61.6,56.0,4205.0,5.72,5.75,3.53,5,5
6596,1.01,Fair,D,SI2,65.3,55.0,4205.0,6.33,6.19,4.09,1,6
6597,1.13,Very Good,J,VS2,62.0,59.0,4206.0,6.62,6.66,4.12,3,0
6598,1.07,Premium,I,SI2,59.7,59.0,4206.0,6.68,6.63,3.97,1,1
6599,1.0,Very Good,G,SI2,62.8,57.0,4207.0,6.31,6.37,3.98,1,3
6600,1.02,Premium,H,SI2,60.9,59.0,4207.0,6.46,6.51,3.95,1,2
6601,1.02,Premium,H,SI2,59.8,59.0,4207.0,6.5,6.54,3.9,1,2
6602,1.02,Good,H,SI2,63.1,59.0,4207.0,6.37,6.43,4.04,1,2
6603,1.02,Ideal,H,SI2,61.8,55.0,4207.0,6.47,6.51,4.01,1,2
6604,1.01,Very Good,I,SI1,60.9,59.0,4207.0,6.39,6.45,3.91,2,1
6605,0.59,Ideal,D,IF,60.9,57.0,4208.0,5.4,5.43,3.3,7,6
6606,1.01,Very Good,H,VS2,63.1,62.0,4208.0,6.18,6.15,3.89,3,2
6607,1.01,Good,H,VS2,63.9,58.0,4208.0,6.26,6.22,3.99,3,2
6608,0.81,Premium,D,VS1,62.3,58.0,4209.0,6.0,5.94,3.72,4,6
6609,1.01,Ideal,G,SI2,62.1,59.0,4209.0,6.45,6.41,3.99,1,3
6610,0.9,Premium,E,SI1,61.3,60.0,4209.0,6.19,6.14,3.78,2,5
6611,0.9,Premium,E,SI1,60.3,56.0,4209.0,6.29,6.21,3.77,2,5
6612,0.9,Premium,E,SI1,61.9,58.0,4209.0,6.17,6.1,3.8,2,5
6613,0.6,Ideal,D,VVS1,62.5,55.0,4209.0,5.42,5.4,3.38,6,6
6614,0.91,Good,G,VS1,63.6,60.0,4209.0,6.11,6.03,3.86,4,3
6615,0.91,Very Good,G,VS1,63.2,58.0,4209.0,6.15,6.07,3.86,4,3
6616,0.91,Very Good,G,VS1,63.4,54.0,4209.0,6.24,6.07,3.9,4,3
6617,0.9,Very Good,G,VS2,61.0,60.0,4210.0,6.21,6.24,3.8,3,3
6618,0.9,Good,G,VS2,60.8,56.0,4210.0,6.14,6.19,3.75,3,3
6619,1.01,Good,G,SI2,62.8,61.0,4210.0,6.31,6.37,3.98,1,3
6620,0.85,Very Good,D,VS2,61.8,56.0,4211.0,6.06,6.08,3.75,3,6
6621,0.91,Very Good,E,SI1,60.5,61.0,4211.0,6.19,6.23,3.76,2,5
6622,0.91,Very Good,E,SI1,61.9,61.0,4211.0,6.1,6.12,3.78,2,5
6623,0.91,Premium,E,SI1,62.6,58.0,4211.0,6.14,6.17,3.85,2,5
6624,0.91,Very Good,E,SI1,62.4,57.0,4211.0,6.11,6.23,3.85,2,5
6625,0.91,Good,E,SI1,63.5,57.0,4211.0,6.07,6.11,3.87,2,5
6626,1.01,Good,G,SI2,63.7,56.0,4211.0,6.26,6.34,4.01,1,3
6627,1.18,Premium,D,SI2,61.8,58.0,4211.0,6.83,6.7,4.19,1,6
6628,1.01,Very Good,I,SI1,62.7,56.0,4212.0,6.36,6.43,4.01,2,1
6629,1.09,Ideal,H,SI2,61.5,55.0,4212.0,6.65,6.68,4.1,1,2
6630,1.11,Premium,H,SI2,61.5,59.0,4212.0,6.61,6.56,4.05,1,2
6631,0.79,Very Good,D,VS1,62.4,60.0,4213.0,5.86,5.88,3.66,4,6
6632,0.96,Ideal,H,SI2,62.1,57.0,4213.0,6.3,6.35,3.93,1,2
6633,1.0,Good,E,SI1,59.8,65.0,4213.0,6.56,6.45,3.89,2,5
6634,0.93,Very Good,D,SI2,60.6,59.0,4214.0,6.3,6.34,3.83,1,6
6635,0.93,Very Good,D,SI2,62.6,57.0,4214.0,6.2,6.26,3.9,1,6
6636,1.13,Premium,J,SI1,61.3,59.0,4214.0,6.77,6.67,4.12,2,0
6637,1.12,Ideal,D,I1,60.6,55.0,4215.0,6.76,6.73,4.09,0,6
6638,1.12,Premium,E,SI2,63.0,61.0,4215.0,6.66,6.61,4.18,1,5
6639,0.56,Ideal,D,IF,62.4,56.0,4216.0,5.24,5.28,3.28,7,6
6640,1.1,Very Good,J,SI2,61.9,55.0,4217.0,6.59,6.63,4.09,1,0
6641,1.0,Good,G,SI1,63.9,58.0,4218.0,6.26,6.32,4.02,2,3
6642,1.0,Good,G,SI1,63.1,56.0,4218.0,6.31,6.41,4.01,2,3
6643,1.0,Good,D,SI2,61.5,63.0,4218.0,6.27,6.32,3.87,1,6
6644,1.0,Good,D,SI2,57.8,58.0,4218.0,6.55,6.61,3.8,1,6
6645,1.0,Good,D,SI2,63.5,59.0,4218.0,6.32,6.35,4.02,1,6
6646,1.0,Very Good,G,SI1,58.6,63.0,4218.0,6.56,6.58,3.85,2,3
6647,1.03,Very Good,F,SI2,61.1,59.0,4218.0,6.51,6.58,4.0,1,4
6648,0.96,Very Good,F,SI2,59.8,59.0,4218.0,6.38,6.45,3.84,1,4
6649,0.93,Ideal,H,VS2,61.5,57.0,4218.0,6.3,6.26,3.86,3,2
6650,0.9,Fair,E,SI1,59.2,60.0,4220.0,6.17,6.22,3.67,2,5
6651,1.01,Good,F,SI2,63.2,58.0,4221.0,6.3,6.43,4.02,1,4
6652,1.01,Good,F,SI2,63.3,57.0,4221.0,6.37,6.39,4.04,1,4
6653,1.03,Ideal,J,SI1,62.1,55.0,4221.0,6.46,6.51,4.03,2,0
6654,1.12,Ideal,G,SI2,62.1,57.0,4222.0,6.71,6.65,4.14,1,3
6655,1.16,Fair,H,SI2,66.3,57.0,4222.0,6.56,6.5,4.33,1,2
6656,0.76,Ideal,D,VVS2,62.3,57.0,4223.0,5.84,5.87,3.65,5,6
6657,0.76,Premium,F,IF,60.6,60.0,4223.0,5.85,5.89,3.56,7,4
6658,0.97,Very Good,F,SI2,62.9,57.0,4223.0,6.28,6.31,3.96,1,4
6659,0.9,Good,G,VS1,63.9,57.0,4223.0,6.08,6.03,3.87,4,3
6660,0.33,Premium,H,VS1,61.0,59.0,579.0,4.45,4.5,2.73,4,2
6661,0.33,Ideal,G,VS2,61.2,55.0,579.0,4.46,4.52,2.75,3,3
6662,0.33,Ideal,G,VS2,62.6,57.0,579.0,4.45,4.47,2.79,3,3
6663,0.33,Very Good,G,VS2,59.4,61.0,579.0,4.49,4.53,2.68,3,3
6664,0.33,Very Good,E,SI1,63.0,54.0,579.0,4.38,4.42,2.77,2,5
6665,0.33,Very Good,H,VS1,59.7,59.0,579.0,4.52,4.53,2.7,4,2
6666,0.33,Ideal,G,VS2,62.2,56.0,579.0,4.44,4.47,2.77,3,3
6667,0.33,Very Good,I,VVS2,62.1,56.0,579.0,4.41,4.45,2.75,5,1
6668,0.33,Very Good,H,VS1,60.2,62.0,579.0,4.44,4.47,2.68,4,2
6669,0.33,Very Good,E,SI1,62.0,60.0,579.0,4.38,4.43,2.73,2,5
6670,0.33,Ideal,G,VS2,62.0,57.0,579.0,4.44,4.47,2.76,3,3
6671,0.33,Ideal,G,VS2,62.3,57.0,579.0,4.4,4.43,2.75,3,3
6672,0.33,Premium,H,VS1,59.5,59.0,579.0,4.48,4.53,2.68,4,2
6673,0.33,Premium,E,SI1,60.9,58.0,579.0,4.46,4.5,2.73,2,5
6674,0.33,Very Good,H,VS1,62.9,59.0,579.0,4.35,4.4,2.75,4,2
6675,0.33,Ideal,H,VS1,61.4,57.0,579.0,4.44,4.49,2.74,4,2
6676,0.33,Premium,I,VVS2,62.2,59.0,579.0,4.41,4.47,2.76,5,1
6677,0.33,Ideal,H,VS1,60.2,57.0,579.0,4.5,4.54,2.72,4,2
6678,0.33,Ideal,H,VS1,61.9,56.0,579.0,4.44,4.48,2.76,4,2
6679,0.33,Very Good,G,VS2,62.8,54.0,579.0,4.4,4.42,2.77,3,3
6680,0.33,Very Good,G,VS2,62.6,58.0,579.0,4.36,4.4,2.74,3,3
6681,0.33,Very Good,G,VS2,62.6,56.0,579.0,4.38,4.41,2.75,3,3
6682,0.33,Good,E,SI1,63.3,56.0,579.0,4.41,4.43,2.8,2,5
6683,0.33,Premium,I,VVS2,61.5,58.0,579.0,4.43,4.45,2.73,5,1
6684,0.33,Premium,E,SI1,61.1,58.0,579.0,4.43,4.47,2.72,2,5
6685,0.33,Premium,G,VS2,60.0,58.0,579.0,4.47,4.49,2.69,3,3
6686,0.33,Very Good,E,SI1,60.6,60.0,579.0,4.41,4.44,2.68,2,5
6687,1.05,Ideal,H,SI1,62.0,56.0,4223.0,6.53,6.46,4.03,2,2
6688,0.91,Very Good,H,VS1,63.4,56.0,4224.0,6.18,6.12,3.9,4,2
6689,1.07,Premium,J,VS2,62.8,57.0,4224.0,6.54,6.49,4.09,3,0
6690,1.02,Ideal,H,SI2,60.5,60.0,4225.0,6.56,6.53,3.96,1,2
6691,1.1,Ideal,J,SI2,62.0,59.0,4226.0,6.58,6.61,4.09,1,0
6692,1.02,Premium,F,SI2,62.7,59.0,4227.0,6.45,6.38,4.02,1,4
6693,1.02,Fair,F,SI1,61.8,50.0,4227.0,6.59,6.51,4.05,2,4
6694,1.11,Ideal,F,SI2,62.0,57.0,4227.0,6.67,6.64,4.13,1,4
6695,1.02,Premium,I,SI1,62.7,58.0,4227.0,6.44,6.41,4.03,2,1
6696,0.92,Very Good,H,VS1,61.0,62.0,4228.0,6.26,6.32,3.84,4,2
6697,0.92,Very Good,H,VS1,62.9,58.0,4228.0,6.17,6.2,3.89,4,2
6698,0.92,Very Good,H,VS1,61.7,62.0,4228.0,6.2,6.12,3.8,4,2
6699,1.01,Very Good,G,SI2,63.3,56.0,4228.0,6.26,6.33,3.99,1,3
6700,0.86,Ideal,E,SI1,60.6,56.0,4228.0,6.16,6.18,3.74,2,5
6701,0.91,Premium,D,SI1,62.8,57.0,4228.0,6.17,6.12,3.86,2,6
6702,1.02,Very Good,H,SI2,62.6,60.0,4229.0,6.3,6.38,3.97,1,2
6703,0.76,Ideal,D,VS1,61.3,57.0,4229.0,5.87,5.9,3.61,4,6
6704,0.9,Good,E,SI1,59.8,64.0,4229.0,6.14,6.21,3.69,2,5
6705,0.93,Premium,E,SI1,61.4,57.0,4229.0,6.34,6.23,3.86,2,5
6706,0.8,Premium,E,VVS2,62.9,59.0,4229.0,5.95,5.88,3.72,5,5
6707,0.9,Fair,F,VS2,64.4,53.0,4229.0,6.08,6.04,3.9,3,4
6708,0.9,Premium,F,VS2,62.7,54.0,4229.0,6.13,6.11,3.84,3,4
6709,0.93,Ideal,E,SI1,62.8,56.0,4229.0,6.24,6.19,3.9,2,5
6710,1.09,Good,F,SI1,61.0,64.0,4230.0,6.63,6.58,4.03,2,4
6711,0.94,Premium,F,SI2,62.2,59.0,4230.0,6.27,6.23,3.89,1,4
6712,0.71,Ideal,E,VVS1,62.3,55.0,4231.0,5.68,5.72,3.55,6,5
6713,0.9,Very Good,F,SI1,63.0,60.0,4232.0,6.09,6.13,3.85,2,4
6714,0.9,Good,F,SI1,64.2,56.0,4232.0,6.02,6.1,3.89,2,4
6715,0.9,Premium,F,SI1,59.9,59.0,4232.0,6.26,6.29,3.76,2,4
6716,0.92,Very Good,E,SI1,60.7,59.0,4232.0,6.25,6.28,3.8,2,5
6717,0.92,Ideal,F,SI1,62.8,56.0,4232.0,6.14,6.18,3.87,2,4
6718,1.07,Good,F,SI2,58.7,64.0,4232.0,6.64,6.68,3.91,1,4
6719,1.2,Very Good,J,VS2,63.1,56.0,4232.0,6.77,6.71,4.25,3,0
6720,1.02,Ideal,H,SI1,63.0,57.0,4233.0,6.36,6.3,3.99,2,2
6721,1.14,Premium,G,SI2,62.8,58.0,4233.0,6.68,6.64,4.18,1,3
6722,1.14,Good,G,SI2,63.7,60.0,4233.0,6.69,6.6,4.24,1,3
6723,0.9,Premium,H,VS1,62.7,60.0,4234.0,6.12,6.07,3.82,4,2
6724,0.9,Good,H,VS1,64.1,57.0,4234.0,6.07,6.04,3.88,4,2
6725,0.78,Very Good,D,VS1,60.5,55.0,4234.0,6.0,6.03,3.64,4,6
6726,1.0,Premium,F,SI1,63.0,60.0,4234.0,6.34,6.24,3.97,2,4
6727,1.01,Good,D,SI2,64.0,56.0,4234.0,6.25,6.29,4.01,1,6
6728,0.96,Good,G,SI1,57.6,59.0,4234.0,6.53,6.56,3.77,2,3
6729,0.9,Premium,H,VS1,62.4,58.0,4234.0,6.19,6.15,3.85,4,2
6730,0.9,Very Good,H,VS1,63.5,59.0,4234.0,6.13,6.1,3.88,4,2
6731,1.05,Premium,H,SI2,63.0,59.0,4234.0,6.48,6.44,4.07,1,2
6732,0.9,Premium,H,VS1,62.9,58.0,4234.0,6.12,6.06,3.83,4,2
6733,0.9,Premium,H,VS1,62.1,59.0,4234.0,6.14,6.09,3.8,4,2
6734,0.9,Good,F,VS2,63.6,59.0,4234.0,6.11,6.06,3.87,3,4
6735,0.9,Premium,F,VS2,58.7,59.0,4234.0,6.34,6.3,3.71,3,4
6736,0.9,Ideal,H,VS1,62.0,56.0,4234.0,6.22,6.19,3.85,4,2
6737,0.9,Premium,H,VS1,60.2,58.0,4234.0,6.32,6.28,3.79,4,2
6738,1.0,Premium,F,SI1,62.1,60.0,4234.0,6.29,6.23,3.88,2,4
6739,1.2,Premium,J,SI2,61.1,59.0,4234.0,6.81,6.78,4.15,1,0
6740,1.2,Ideal,J,SI1,63.0,57.0,4234.0,6.74,6.64,4.24,2,0
6741,1.0,Premium,F,SI1,60.8,59.0,4234.0,6.45,6.41,3.91,2,4
6742,1.1,Very Good,I,SI1,60.4,61.0,4235.0,6.69,6.73,4.05,2,1
6743,1.07,Ideal,J,SI1,62.0,56.0,4235.0,6.53,6.57,4.06,2,0
6744,1.07,Premium,H,SI1,58.9,59.0,4235.0,6.76,6.71,3.97,2,2
6745,1.07,Very Good,I,SI1,60.7,61.0,4237.0,6.55,6.6,3.99,2,1
6746,1.0,Ideal,I,SI1,62.8,56.0,4237.0,6.33,6.38,3.99,2,1
6747,1.02,Premium,F,SI2,60.2,61.0,4238.0,6.52,6.48,3.91,1,4
6748,1.06,Premium,G,SI2,61.1,62.0,4238.0,6.61,6.55,4.02,1,3
6749,1.02,Premium,F,SI2,60.4,60.0,4238.0,6.53,6.49,3.93,1,4
6750,1.02,Ideal,F,SI2,62.1,56.0,4238.0,6.44,6.41,3.99,1,4
6751,1.02,Good,F,SI2,63.8,53.0,4238.0,6.46,6.37,4.09,1,4
6752,1.06,Ideal,G,SI2,62.5,55.0,4238.0,6.55,6.51,4.08,1,3
6753,1.02,Premium,F,SI2,59.9,59.0,4238.0,6.59,6.56,3.94,1,4
6754,1.02,Premium,F,SI2,59.9,62.0,4238.0,6.53,6.5,3.9,1,4
6755,1.01,Ideal,F,SI2,60.6,57.0,4239.0,6.49,6.55,3.95,1,4
6756,1.01,Ideal,I,VS2,62.6,54.0,4239.0,6.4,6.45,4.02,3,1
6757,1.01,Ideal,F,SI2,61.4,56.0,4239.0,6.46,6.51,3.98,1,4
6758,0.91,Very Good,D,SI1,61.5,59.0,4239.0,6.18,6.25,3.82,2,6
6759,0.9,Very Good,E,SI1,61.5,62.0,4239.0,6.15,6.2,3.8,2,5
6760,1.04,Premium,I,VS1,61.4,57.0,4240.0,6.52,6.47,3.99,4,1
6761,0.7,Very Good,E,VVS2,61.7,57.0,4240.0,5.68,5.71,3.51,5,5
6762,0.79,Ideal,E,VS1,62.0,56.0,4240.0,5.9,5.93,3.67,4,5
6763,1.04,Premium,E,SI2,61.6,59.0,4240.0,6.57,6.55,4.04,1,5
6764,1.04,Premium,E,SI2,61.0,60.0,4240.0,6.57,6.52,3.99,1,5
6765,1.05,Premium,G,SI2,61.3,58.0,4241.0,6.55,6.6,4.03,1,3
6766,1.08,Good,G,SI2,63.2,57.0,4241.0,6.5,6.54,4.12,1,3
6767,1.02,Very Good,F,SI2,60.3,59.0,4241.0,6.5,6.53,3.93,1,4
